3CX new user,,
,,
Progress,,0%
,,
Status,Step,
FALSE,Flowroute -> DID -> Purchase ,
FALSE,Flowroute -> Opt Message in/out,
FALSE,Flowroute -> Choose DID Action -> Change Alias,
FALSE,3CX - SIP Trunks  -> Flowroute -> DID -> Add -> Ok,
FALSE,3CX - User -> Check Extention -> Add,
FALSE,3CX - User - Add -> if SDR -> Ext  >= 600 -> Fill out form ,
FALSE,3CX - User - Add -> outbound caller = Flowroute DID,
FALSE,3CX - User - Add -> Add DID (at the bottom) -> Choose Recent #,
FALSE,3CX - User - VoiceMail -> Email Option -> Send Vmail as Attachment,
FALSE,3CX - Advance -> Groups -> SDR to SDRs,
FALSE,3CX - User - Click on user just got created -> Send Welcome Email,
